Test Run for Data taking:
Trial, Device, Channel, Tile, IMON, RMON, VCOMP
12, 1, 12, 25, 0.300, 1.376, 0.004

 
12, 1, 13, 27, 0.270, 1.360, 0.004

 
12, 1, 14, 29, 0.290, 1.376, 0.004

 
12, 1, 15, 31, 0.310, 1.362, 0.004

 
13, 0, 0, 2, 0.350, 1.390, 0.004

 
13, 0, 1, 4, 0.380, 1.385, 0.004

 
13, 0, 2, 6, 0.360, 1.376, 0.004

 
13, 0, 3, 8, 0.440, 1.381, 0.004

 
13, 0, 4, 10, 0.360, 1.378, 0.004

 
13, 0, 5, 12, 0.400, 1.378, 0.004

 
13, 0, 6, 14, 0.350, 1.389, 0.004

 
13, 0, 7, 16, 0.390, 1.377, 0.004

 
13, 0, 8, 18, 0.380, 1.390, 0.004

 
13, 0, 9, 20, 0.350, 1.389, 0.004

 
13, 0, 10, 22, 0.380, 1.381, 0.004

 
13, 0, 11, 24, 0.300, 1.391, 0.004

 
13, 0, 12, 26, 0.400, 1.385, 0.004

 
13, 0, 13, 28, 0.320, 1.384, 0.004

 
13, 0, 14, 30, 0.350, 1.395, 0.004

 
13, 0, 15, 32, 4.260, 1.339, 0.004

 
13, 1, 0, 1, 0.430, 1.383, 0.004

 
13, 1, 1, 3, 0.030, 1.379, 0.004

 
13, 1, 2, 5, 0.430, 1.362, 0.004

 
13, 1, 3, 7, 0.400, 1.355, 0.004

 
13, 1, 4, 9, 0.420, 1.375, 0.004

 
13, 1, 5, 11, 0.450, 1.376, 0.004

 
13, 1, 6, 13, 0.410, 1.370, 0.004

 
13, 1, 7, 15, 0.400, 1.372, 0.004

 
13, 1, 8, 17, 0.430, 1.371, 0.004

 
13, 1, 9, 19, 0.330, 1.368, 0.004

 
13, 1, 10, 21, 0.170, 1.368, 0.004

 
13, 1, 11, 23, 0.260, 1.369, 0.004

 
13, 1, 12, 25, 0.310, 1.378, 0.004

 
